Bridge Author Id,Bridge Author,AR,% WG I+II+III,% WG I+II,% WG I+III,% WG II+III,WG,% WG I,% WG II,% WG III,Role,% Responsibility Roles,% CLA,% LA,% RE,% CA,Chapter #,Chapter Title,Institution,Country
21,Roberto Acosta Moreno,2,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,CLA,100.0000,25.0000,75.0000,0.0000,0.0000,11,"Industry, Energy and Transportation: Impacts and Adaptation",N/A,Cuba
21,Roberto Acosta Moreno,2,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,LA,100.0000,25.0000,75.0000,0.0000,0.0000,SPM,Summary For Policy Makers,COMARNA,Cuba
21,Roberto Acosta Moreno,2,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,LA,100.0000,25.0000,75.0000,0.0000,0.0000,TS,Technical Summary,N/A,Cuba
28,Sharad P. Adhikary,1,0.0000,0.0000,0.0000,40.0000,WG III,0.0000,80.0000,20.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,6,Resource Use and Management,Nepalese Department of Hydrology & Meteorology,Nepal
28,Sharad P. Adhikary,2,0.0000,0.0000,0.0000,40.0000,WG II,0.0000,80.0000,20.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,5,Impacts of Climate Change on Mountain Regions,Water and Energy Commission Secretariat,Nepal
28,Sharad P. Adhikary,2,0.0000,0.0000,0.0000,40.0000,WG II,0.0000,80.0000,20.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,SPM,Summary For Policy Makers,Water and Energy Commission Secretariat,Nepal
28,Sharad P. Adhikary,2,0.0000,0.0000,0.0000,40.0000,WG II,0.0000,80.0000,20.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,TS,Technical Summary,Water and Energy Commission Secretariat,Nepal
28,Sharad P. Adhikary,3,0.0000,0.0000,0.0000,40.0000,WG II,0.0000,80.0000,20.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,11,Asia,Water and Energy Commission Secretariat,Nepal
37,Shardul Agrawala,2,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,25,Mitigation: Cross-Sectoral and Other Issues,N/A,India
37,Shardul Agrawala,2,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,SPM,Summary For Policy Makers,IPCC,India
37,Shardul Agrawala,2,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,TS,Technical Summary,N/A,India
37,Shardul Agrawala,4,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,CLA,100.0000,22.2200,77.7800,0.0000,0.0000,17,"Assessment of adaptation practices, options, constraints and capacity",Organization for Economic Cooperation and Development (OECD),France
37,Shardul Agrawala,4,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,SPM,Summary For Policy Makers,Organization for Economic Cooperation and Development (OECD),France
37,Shardul Agrawala,4,0.0000,0.0000,0.0000,66.6700,WG II,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,TS,Technical Summary,Organization for Economic Cooperation and Development (OECD),France
37,Shardul Agrawala,5,0.0000,0.0000,0.0000,66.6700,WG III,0.0000,66.6700,33.3300,CLA,100.0000,22.2200,77.7800,0.0000,0.0000,14,Regional Development and Cooperation,Organization for Economic Cooperation and Development (OECD),France
37,Shardul Agrawala,5,0.0000,0.0000,0.0000,66.6700,WG III,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,SPM,Summary For Policy Makers,Organization for Economic Cooperation and Development (OECD),France
37,Shardul Agrawala,5,0.0000,0.0000,0.0000,66.6700,WG III,0.0000,66.6700,33.3300,LA,100.0000,22.2200,77.7800,0.0000,0.0000,TS,Technical Summary,Organization for Economic Cooperation and Development (OECD),France
3633,Hashem Akbari,2,0.0000,0.0000,0.0000,100.0000,WG II,0.0000,50.0000,50.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,22,Mitigation Options for Human Settlements,N/A,USA
3633,Hashem Akbari,5,0.0000,0.0000,0.0000,100.0000,WG III,0.0000,50.0000,50.0000,LA,100.0000,0.0000,100.0000,0.0000,0.0000,9,Buildings,Concordia University,Canada
56,Joseph M. Alcamo,3,0.0000,0.0000,0.0000,50.0000,WG III,0.0000,75.0000,25.0000,LA,100.0000,25.0000,75.0000,0.0000,0.0000,2,Greenhouse Gas Emission Mitigation Scenarios and Implications,University of Kassel,Germany
56,Joseph M. Alcamo,4,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,CLA,100.0000,25.0000,75.0000,0.0000,0.0000,12,Europe,University of Kassel,Germany
56,Joseph M. Alcamo,4,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,LA,100.0000,25.0000,75.0000,0.0000,0.0000,SPM,Summary For Policy Makers,University of Kassel,Germany
56,Joseph M. Alcamo,4,0.0000,0.0000,0.0000,50.0000,WG II,0.0000,75.0000,25.0000,LA,100.0000,25.0000,75.0000,0.0000,0.0000,TS,Technical Summary,University of Kassel,Germany
59,Lisa V. Alexander,3,0.0000,0.0000,40.0000,0.0000,WG III,80.0000,0.0000,20.0000,CA,60.0000,0.0000,60.0000,0.0000,40.0000,2,Greenhouse Gas Emission Mitigation Scenarios and Implications,Met Office,United Kingdom
59,Lisa V. Alexander,4,0.0000,0.0000,40.0000,0.0000,WG I,80.0000,0.0000,20.0000,CA,60.0000,0.0000,60.0000,0.0000,40.0000,3,Observations: Atmospheric Surface and Climate Change,Met Office,United Kingdom
59,Lisa V. Alexander,5,0.0000,0.0000,40.0000,0.0000,WG I,80.0000,0.0000,20.0000,LA,60.0000,0.0000,60.0000,0.0000,40.0000,2,Observations: Atmosphere and Surface,University of New South Wales,Australia
59,Lisa V. Alexander,5,0.0000,0.0000,40.0000,0.0000,WG I,80.0000,0.0000,20.0000,LA,60.0000,0.0000,60.0000,0.0000,40.0000,SPM,Summary For Policy Makers,University of New South Wales,Australia
59,Lisa V. Alexander,5,0.0000,0.0000,40.0000,0.0000,WG I,80.0000,0.0000,20.0000,LA,60.0000,0.0000,60.0000,0.0000,40.0000,TS,Technical Summary,University of New South Wales,Australia
71,Ian Allison,2,0.0000,50.0000,0.0000,0.0000,WG II,75.0000,25.0000,0.0000,LA,75.0000,0.0000,75.0000,0.0000,25.0000,7,The CryosphereL Changes and their Impacts,Australian Antarctic Division,Australia
71,Ian Allison,4,0.0000,50.0000,0.0000,0.0000,WG I,75.0000,25.0000,0.0000,LA,75.0000,0.0000,75.0000,0.0000,25.0000,4,"Observations: Changes in Snow, Ice and Frozen Ground",Australian Antarctic Division,Australia
71,Ian Allison,5,0.0000,50.0000,0.0000,0.0000,WG I,75.0000,25.0000,0.0000,CA,75.0000,0.0000,75.0000,0.0000,25.0000,3,Observations: Ocean,Antarctic Climate and Ecosystems Cooperative Research Centre,Australia
71,Ian Allison,5,0.0000,50.0000,0.0000,0.0000,WG I,75.0000,25.0000,0.0000,LA,75.0000,0.0000,75.0000,0.0000,25.0000,4,Observations: Cryosphere,Antarctic Climate and Ecosystems Cooperative Research Centre,Australia
98,Natalia Andronova,4,0.0000,100.0000,0.0000,0.0000,WG I,50.0000,50.0000,0.0000,CA,0.0000,0.0000,0.0000,0.0000,100.0000,9,Understanding and Attributing Climate Change,University of Michigan,USA
