id,number,title,wg,ar,assessment_report_id,working_group_id
1,1,Greenhouse Gases and AER,1,1,1,1
2,2,Radiative Forcing of Climate,1,1,1,1
3,3,Processes and Modelling,1,1,1,1
4,4,Validation of Climate Models,1,1,1,1
5,5,Equilibrium Climate Change,1,1,1,1
6,6,Time-Dependent Greenhouse Gas Induced Climate Change,1,1,1,1
7,7,Observed Climate Variations and Change,1,1,1,1
8,8,Detection of the Greenhouse Effect in the Observations,1,1,1,1
9,9,Sea Level Rise,1,1,1,1
10,10,Effects on Ecosystems,1,1,1,1
11,11,Narrowing the Uncertainties,1,1,1,1
12,ANX,Annex,1,1,1,1
13,1,The Climate System: an Overview,1,2,2,2
14,2,Radiative Forcing of Climate Change,1,2,2,2
15,3,Observed Climate Variability and Change,1,2,2,2
16,4,Climate Processes,1,2,2,2
17,5,Climate Models - Evaluation,1,2,2,2
18,6,Climate Models – Projections for the Future,1,2,2,2
19,7,Changes in Sea Level,1,2,2,2
20,8,Detection of Climate Change and Attribution of Causes,1,2,2,2
21,9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,1,2,2,2
22,10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,1,2,2,2
23,11,Advancing our Understanding,1,2,2,2
24,1,The Climate System: an Overview,1,3,3,3
25,2,Observed Climate Variability and Change,1,3,3,3
26,3,The Carbon Cycle and Atmospheric Carbon Dioxide,1,3,3,3
27,4,Atmospheric Chemistry and Greenhouse Gases,1,3,3,3
28,5,"AER, their Direct and Indirect Effects",1,3,3,3
29,6,Radiative Forcing of Climate Change,1,3,3,3
30,7,Physical Climate Processes and Feedbacks,1,3,3,3
31,8,Model Evaluation,1,3,3,3
32,9,Projections of Future Climate Change,1,3,3,3
33,10,Regional Climate Information – Evaluation and Projections,1,3,3,3
34,11,Changes in Sea Level,1,3,3,3
35,12,Detection of Climate Change and Attribution of Causes,1,3,3,3
36,13,Climate Scenario Development,1,3,3,3
37,14,Advancing our Understanding,1,3,3,3
38,1,Historical Overview of Climate Change Science,1,4,4,4
39,2,Changes in Atmospheric Constituents and Radiative Forcing,1,4,4,4
40,3,Observations: Atmospheric Surface and Climate Change,1,4,4,4
41,4,"Observations: Changes in Snow, Ice and Frozen Ground",1,4,4,4
42,5,Observations: Ocean Climate Change and Sea Level,1,4,4,4
43,6,Paleoclimate,1,4,4,4
44,7,Coupling Between Changes in the Climate System and Biogeochemistry,1,4,4,4
