First Name,Last Name,AR,WG,Chapter,Role,Institution,Institution Type,Country
Shardul,Agrawala,4,2,17,CLA,Organization for Economic Cooperation and Development (OECD),International Institution,France
Shardul,Agrawala,4,2,SPM,LA,Organization for Economic Cooperation and Development (OECD),International Institution,France
Shardul,Agrawala,4,2,TS,LA,Organization for Economic Cooperation and Development (OECD),International Institution,France
Shardul,Agrawala,5,3,14,CLA,Organization for Economic Cooperation and Development (OECD),International Institution,France
Shardul,Agrawala,5,3,SPM,LA,Organization for Economic Cooperation and Development (OECD),International Institution,France
Philippe,Ambrosi,4,3,3,CA,World Bank,International Institution,France
Fabien,Anthelme,5,2,27,CA,N/A,Non Available,France
H.,Audus,2,2,19,LA,International Energy Agency,International Institution,France
O.,Aumont,3,1,3,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
D.,Bachelet,2,2,13,CA,Center d'Etude Spatiale du Rayonnement,Public Research Organisation,France
Jean-Marc,Barnola,4,1,6,CA,Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE),Public Research Organisation,France
Gregory,Beaugrand,5,2,6,CA,N/A,Non Available,France
Celine,Bellard,5,2,4,CA,N/A,Non Available,France
Arnaud,Bertrand,5,2,27,CA,N/A,Non Available,France
D.,Binet,2,2,16,CA,IFREMER,Public Research Organisation,France
D.,Binet,2,2,8,CA,IFREMER,Public Research Organisation,France
Fatih,Birol,4,3,3,CA,International Energy Agency,International Institution,France
C.,Blondin,1,1,4,LA,Direction de la Meteorologie Nationale,Government Agency,France
Michel,Boko,3,2,10,LA,Universite de Bourgogne,Higher Education Institution,France
Michel,Boko,4,2,9,CLA,Universite de Bourgogne,Higher Education Institution,France
Michel,Boko,4,2,SPM,LA,Universite de Bourgogne,Higher Education Institution,France
Michel,Boko,4,2,TS,LA,Universite de Bourgogne,Higher Education Institution,France
Sandrine,Bony,3,1,7,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Sandrine,Bony,4,1,8,LA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Sandrine,Bony,5,1,12,CA,N/A,Non Available,France
Sandrine,Bony,5,1,7,CA,N/A,Non Available,France
Aaron,Boone,4,1,8,CA,Météo-France,Government Agency,France
Laurent,Bopp,3,1,3,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Laurent,Bopp,5,1,6,LA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,2,1,2,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,2,1,4,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,3,1,5,CA,Laboratoire d'Optique Atmospherique,Public Research Organisation,France
Olivier,Boucher,3,1,6,LA,Laboratoire d'Optique Atmospherique,Public Research Organisation,France
Olivier,Boucher,5,1,10,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,5,1,7,CLA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,5,1,8,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Olivier,Boucher,5,1,SPM,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Jean-Philipe,Boulanger,5,2,27,LA,Institut de Recherche pour le Developpement (IRD),Public Research Organisation,France
Philippe,Bousquet,3,1,3,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Philippe,Bousquet,4,1,7,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Philippe,Bousquet,5,1,6,CA,N/A,Non Available,France
Chris,Bowler,5,2,6,CA,N/A,Non Available,France
Pascale,Braconnot,3,1,8,CA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
Pascale,Braconnot,4,1,9,LA,Institut Pierre Simon Laplace (IPSL),Public Research Organisation,France
