Role,AR,WG,Total France Participations,Total Participations,Percentage of France Participations
Coordinating Lead Author,1,3,3,25,12.0000
Coordinating Lead Author,2,2,2,44,4.5455
Coordinating Lead Author,2,3,3,15,20.0000
Coordinating Lead Author,3,3,1,20,5.0000
Coordinating Lead Author,4,1,1,25,4.0000
Coordinating Lead Author,4,2,2,51,3.9216
Coordinating Lead Author,5,1,3,29,10.3448
Coordinating Lead Author,5,3,1,34,2.9412
Lead Author,1,1,9,257,3.5019
Lead Author,1,3,2,43,4.6512
Lead Author,2,1,4,91,4.3956
Lead Author,2,2,13,374,3.4759
Lead Author,2,3,4,91,4.3956
Lead Author,3,1,5,115,4.3478
Lead Author,3,2,2,268,0.7463
Lead Author,3,3,5,171,2.9240
Lead Author,4,1,13,182,7.1429
Lead Author,4,2,8,269,2.9740
Lead Author,4,3,8,207,3.8647
Lead Author,5,1,9,211,4.2654
Lead Author,5,2,9,255,3.5294
Lead Author,5,3,5,199,2.5126
Review Editor,3,2,1,35,2.8571
Review Editor,3,3,1,20,5.0000
Review Editor,4,1,3,29,10.3448
Review Editor,5,1,7,50,14.0000
Review Editor,5,2,2,66,3.0303
Contributing Author,2,1,9,404,2.2277
Contributing Author,2,2,9,318,2.8302
Contributing Author,2,3,2,30,6.6667
Contributing Author,3,1,25,617,4.0519
Contributing Author,4,1,30,590,5.0847
Contributing Author,4,2,6,234,2.5641
Contributing Author,4,3,6,88,6.8182
Contributing Author,5,1,37,726,5.0964
Contributing Author,5,2,13,415,3.1325
