alias,institution_id,Institution (INFO)
Lamont-Doherty Geological Laboratory,185,Columbia University
Commission of the European Communities,1243,European Commission
Indian Council of Agricultural Research,1266,Indian Council of Agriculture Research
Intergovernmental Panel on Climate Change,1170,IPCC
IPCC Secretariat,1170,IPCC
IPCC WGI Technical Support Unit,1170,IPCC
National Oceanic & Atmospheric Administration,188,National Oceanographic and Atmospheric Administration (NOAA)
NOAA ERE @ Boulder,188,National Oceanographic and Atmospheric Administration (NOAA)
U.S. Environmental Protection Agency,905,U.S. Environmental Protection Agency (EPA)
UNEP,291,United Nations Environment Programme (UNEP)
University of Paris,862,Université Paris VI Pierre et Marie Curie
