AR,WMO Symbol,WMO Group,Total
1,NAC,"North America, Central America and the Caribbean",205
1,EUR,Europe,192
1,WMONA,Non Available,65
1,SWP,South-West Pacific,46
1,ASI,Asia,44
1,AFR,Africa,17
1,SAM,South America,9
2,NAC,"North America, Central America and the Caribbean",576
2,EUR,Europe,454
2,ASI,Asia,133
2,SWP,South-West Pacific,108
2,SAM,South America,52
2,AFR,Africa,50
2,WMONA,Non Available,9
3,NAC,"North America, Central America and the Caribbean",583
3,EUR,Europe,518
3,WMONA,Non Available,194
3,ASI,Asia,143
3,SWP,South-West Pacific,109
3,AFR,Africa,55
3,SAM,South America,55
4,EUR,Europe,689
4,NAC,"North America, Central America and the Caribbean",614
4,ASI,Asia,195
4,SWP,South-West Pacific,142
4,AFR,Africa,81
4,SAM,South America,58
5,EUR,Europe,836
5,NAC,"North America, Central America and the Caribbean",680
5,ASI,Asia,209
5,SWP,South-West Pacific,177
5,AFR,Africa,114
5,SAM,South America,69
