Country,AR,Cumulated WG,Total Country Participations,% Country Participations,Total Participations
Algeria,2,WG2,1,0.1969,508
Algeria,4,WG2,1,0.2667,375
Algeria,5,WG2,1,0.1577,634
Antigua and Barbuda,3,WG2,1,0.2770,361
Argentina,1,WG1,1,0.4292,233
Argentina,2,WG1,1,0.2604,384
Argentina,2,WG1+2,1,4.0000,25
Argentina,2,WG2,13,2.5591,508
Argentina,2,WG3,1,1.2346,81
Argentina,3,WG1,1,0.1773,564
Argentina,3,WG2,10,2.7701,361
Argentina,3,WG3,2,0.9901,202
Argentina,4,WG1,4,0.6861,583
Argentina,4,WG2,7,1.8667,375
Argentina,4,WG2+3,1,5.8824,17
Argentina,4,WG3,2,0.7843,255
Argentina,5,WG1,4,0.5319,752
Argentina,5,WG2,8,1.2618,634
Argentina,5,WG3,6,2.2814,263
Australia,1,WG1,10,4.2918,233
Australia,1,WG1+2,2,18.1818,11
Australia,1,WG2,5,3.2680,153
Australia,1,WG2+3,1,20.0000,5
Australia,1,WG3,6,10.0000,60
Australia,2,WG1,34,8.8542,384
Australia,2,WG1+2,1,4.0000,25
Australia,2,WG2,26,5.1181,508
Australia,2,WG3,3,3.7037,81
Australia,3,WG1,34,6.0284,564
Australia,3,WG1+2,1,3.4483,29
Australia,3,WG2,11,3.0471,361
Australia,3,WG3,1,0.4950,202
Australia,4,WG1,25,4.2882,583
Australia,4,WG1+2,3,9.6774,31
Australia,4,WG2,23,6.1333,375
Australia,4,WG2+3,1,5.8824,17
Australia,4,WG3,5,1.9608,255
Australia,5,WG1,38,5.0532,752
Australia,5,WG1+2,1,4.0000,25
Australia,5,WG2,53,8.3596,634
Australia,5,WG3,7,2.6616,263
Austria,2,WG2,7,1.3780,508
Austria,2,WG3,1,1.2346,81
Austria,3,WG1,4,0.7092,564
Austria,3,WG2+3,1,9.0909,11
Austria,3,WG3,3,1.4851,202
Austria,4,WG1,1,0.1715,583
Austria,4,WG1+2,1,3.2258,31
Austria,4,WG2,2,0.5333,375
Austria,4,WG2+3,1,5.8824,17
Austria,4,WG3,9,3.5294,255
Austria,5,WG1,5,0.6649,752
Austria,5,WG2,4,0.6309,634
Austria,5,WG2+3,1,20.0000,5
Austria,5,WG3,8,3.0418,263
Bangladesh,2,WG3,1,1.2346,81
Bangladesh,3,WG2,2,0.5540,361
Bangladesh,3,WG3,1,0.4950,202
Bangladesh,4,WG2,4,1.0667,375
Bangladesh,5,WG2,3,0.4732,634
Bangladesh,5,WG3,2,0.7605,263
Barbados,2,WG2,1,0.1969,508
Barbados,3,WG2,1,0.2770,361
Barbados,4,WG2,1,0.2667,375
Barbados,5,WG2,2,0.3155,634
Belgium,1,WG1,3,1.2876,233
Belgium,1,WG2,1,0.6536,153
Belgium,1,WG3,1,1.6667,60
Belgium,2,WG2,1,0.1969,508
Belgium,3,WG1,4,0.7092,564
Belgium,3,WG2,2,0.5540,361
Belgium,3,WG3,1,0.4950,202
Belgium,4,WG1,7,1.2007,583
Belgium,4,WG2,4,1.0667,375
Belgium,4,WG3,2,0.7843,255
Belgium,5,WG1,8,1.0638,752
Belgium,5,WG2,1,0.1577,634
Belgium,5,WG3,1,0.3802,263
Belize,4,WG2,1,0.2667,375
Benin,1,WG2,1,0.6536,153
Benin,2,WG2,1,0.1969,508
Benin,3,WG1,1,0.1773,564
Benin,4,WG2,1,0.2667,375
Bermuda,2,WG1,1,0.2604,384
Bermuda,4,WG1,1,0.1715,583
Bermuda,5,WG1,1,0.1330,752
Bolivia,4,WG2,1,0.2667,375
Botswana,3,WG2,2,0.5540,361
Botswana,4,WG2,2,0.5333,375
Botswana,4,WG3,1,0.3922,255
Botswana,5,WG1,1,0.1330,752
Botswana,5,WG2,1,0.1577,634
Botswana,5,WG3,1,0.3802,263
Brazil,1,WG1,4,1.7167,233
Brazil,1,WG2+3,1,20.0000,5
Brazil,1,WG3,2,3.3333,60
Brazil,2,WG1,4,1.0417,384
Brazil,2,WG2,4,0.7874,508
Brazil,2,WG3,3,3.7037,81
Brazil,3,WG1,2,0.3546,564
Brazil,3,WG1+2,1,3.4483,29
Brazil,3,WG2,3,0.8310,361
Brazil,3,WG2+3,1,9.0909,11
Brazil,3,WG3,6,2.9703,202
Brazil,4,WG1,2,0.3431,583
Brazil,4,WG1+2,1,3.2258,31
Brazil,4,WG2,5,1.3333,375
Brazil,4,WG3,6,2.3529,255
Brazil,5,WG1,5,0.6649,752
Brazil,5,WG1+2,1,4.0000,25
Brazil,5,WG2,11,1.7350,634
Brazil,5,WG3,11,4.1825,263
Bulgaria,5,WG2,1,0.1577,634
Bulgaria,5,WG3,1,0.3802,263
Cameroon,5,WG2,2,0.3155,634
Canada,1,WG1,9,3.8627,233
Canada,1,WG1+2,1,9.0909,11
Canada,1,WG2,20,13.0719,153
Canada,1,WG3,2,3.3333,60
Canada,2,WG1,22,5.7292,384
Canada,2,WG2,27,5.3150,508
Canada,2,WG3,3,3.7037,81
Canada,3,WG1,27,4.7872,564
Canada,3,WG1+2,1,3.4483,29
Canada,3,WG2,18,4.9861,361
Canada,3,WG2+3,1,9.0909,11
Canada,3,WG3,5,2.4752,202
Canada,4,WG1,32,5.4889,583
Canada,4,WG1+2,1,3.2258,31
Canada,4,WG1+3,1,100.0000,1
Canada,4,WG2,28,7.4667,375
Canada,4,WG2+3,2,11.7647,17
Canada,4,WG3,12,4.7059,255
Canada,5,WG1,30,3.9894,752
Canada,5,WG1+2,3,12.0000,25
Canada,5,WG2,22,3.4700,634
Canada,5,WG3,5,1.9011,263
Chad,4,WG2,2,0.5333,375
Chile,3,WG2,1,0.2770,361
Chile,3,WG3,2,0.9901,202
Chile,4,WG1,1,0.1715,583
Chile,4,WG2,2,0.5333,375
Chile,4,WG3,1,0.3922,255
Chile,5,WG1,2,0.2660,752
Chile,5,WG2,4,0.6309,634
Chile,5,WG3,1,0.3802,263
China,1,WG1,7,3.0043,233
China,1,WG2,4,2.6144,153
China,1,WG3,3,5.0000,60
China,2,WG1,7,1.8229,384
China,2,WG2,14,2.7559,508
China,2,WG3,1,1.2346,81
China,3,WG1,10,1.7730,564
