AR,WMO Symbol,WMO Region,Total WMO Region Authors,% WMO Region Authors,Total Authors
1,NAC,"North America, Central America and the Caribbean",163,34.9785,466
1,EUR,Europe,149,31.9742,466
1,WMONA,Non Available,62,13.3047,466
1,ASI,Asia,40,8.5837,466
1,SWP,South-West Pacific,33,7.0815,466
1,AFR,Africa,13,2.7897,466
1,SAM,South America,8,1.7167,466
2,NAC,"North America, Central America and the Caribbean",416,40.9852,1015
2,EUR,Europe,334,32.9064,1015
2,ASI,Asia,103,10.1478,1015
2,SWP,South-West Pacific,84,8.2759,1015
2,SAM,South America,41,4.0394,1015
2,AFR,Africa,33,3.2512,1015
2,WMONA,Non Available,6,0.5911,1015
3,NAC,"North America, Central America and the Caribbean",393,33.3616,1178
3,EUR,Europe,356,30.2207,1178
3,WMONA,Non Available,243,20.6282,1178
3,ASI,Asia,100,8.4890,1178
3,SWP,South-West Pacific,69,5.8574,1178
3,AFR,Africa,36,3.0560,1178
3,SAM,South America,35,2.9711,1178
4,EUR,Europe,469,37.1632,1262
4,NAC,"North America, Central America and the Caribbean",446,35.3407,1262
4,ASI,Asia,149,11.8067,1262
4,SWP,South-West Pacific,95,7.5277,1262
4,AFR,Africa,61,4.8336,1262
4,SAM,South America,42,3.3281,1262
