Country,Role,AR,WG,Total Country Authors,Total Authors,Percentage of Authors in Country
Algeria,Coordinating Lead Author,1,1,0,34,0.0000
Algeria,Coordinating Lead Author,1,2,0,13,0.0000
Algeria,Coordinating Lead Author,1,3,0,19,0.0000
Algeria,Coordinating Lead Author,2,1,0,15,0.0000
Algeria,Coordinating Lead Author,2,2,0,43,0.0000
Algeria,Coordinating Lead Author,2,3,0,12,0.0000
Algeria,Coordinating Lead Author,3,1,0,23,0.0000
Algeria,Coordinating Lead Author,3,2,0,42,0.0000
Algeria,Coordinating Lead Author,3,3,0,20,0.0000
Algeria,Coordinating Lead Author,4,1,0,25,0.0000
Algeria,Coordinating Lead Author,4,2,0,51,0.0000
Algeria,Coordinating Lead Author,4,3,0,25,0.0000
Algeria,Coordinating Lead Author,5,1,0,29,0.0000
Algeria,Coordinating Lead Author,5,2,0,64,0.0000
Algeria,Coordinating Lead Author,5,3,0,34,0.0000
Algeria,Lead Author,1,1,0,214,0.0000
Algeria,Lead Author,1,2,0,11,0.0000
Algeria,Lead Author,1,3,0,43,0.0000
Algeria,Lead Author,2,1,0,84,0.0000
Algeria,Lead Author,2,2,0,287,0.0000
Algeria,Lead Author,2,3,0,65,0.0000
Algeria,Lead Author,3,1,0,137,0.0000
Algeria,Lead Author,3,2,0,184,0.0000
Algeria,Lead Author,3,3,0,139,0.0000
Algeria,Lead Author,4,1,0,139,0.0000
Algeria,Lead Author,4,2,0,197,0.0000
Algeria,Lead Author,4,3,0,175,0.0000
Algeria,Lead Author,5,1,0,195,0.0000
Algeria,Lead Author,5,2,0,236,0.0000
Algeria,Lead Author,5,3,0,243,0.0000
Algeria,Review Editor,3,1,0,21,0.0000
Algeria,Review Editor,3,2,0,34,0.0000
Algeria,Review Editor,3,3,0,19,0.0000
Algeria,Review Editor,4,1,0,26,0.0000
Algeria,Review Editor,4,2,1,46,2.1739
Algeria,Review Editor,4,3,0,26,0.0000
Algeria,Review Editor,5,1,0,50,0.0000
Algeria,Review Editor,5,2,0,66,0.0000
Algeria,Review Editor,5,3,0,36,0.0000
Algeria,Contributing Author,1,1,0,29,0.0000
Algeria,Contributing Author,1,2,0,147,0.0000
Algeria,Contributing Author,1,3,0,9,0.0000
Algeria,Contributing Author,2,1,0,352,0.0000
Algeria,Contributing Author,2,2,1,294,0.3401
Algeria,Contributing Author,2,3,0,28,0.0000
Algeria,Contributing Author,3,1,0,518,0.0000
Algeria,Contributing Author,3,2,0,232,0.0000
Algeria,Contributing Author,3,3,0,71,0.0000
Algeria,Contributing Author,4,1,0,496,0.0000
Algeria,Contributing Author,4,2,0,217,0.0000
Algeria,Contributing Author,4,3,0,84,0.0000
Algeria,Contributing Author,5,1,0,603,0.0000
Algeria,Contributing Author,5,2,1,386,0.2591
Antigua and Barbuda,Coordinating Lead Author,1,1,0,34,0.0000
Antigua and Barbuda,Coordinating Lead Author,1,2,0,13,0.0000
Antigua and Barbuda,Coordinating Lead Author,1,3,0,19,0.0000
Antigua and Barbuda,Coordinating Lead Author,2,1,0,15,0.0000
Antigua and Barbuda,Coordinating Lead Author,2,2,0,43,0.0000
Antigua and Barbuda,Coordinating Lead Author,2,3,0,12,0.0000
Antigua and Barbuda,Coordinating Lead Author,3,1,0,23,0.0000
Antigua and Barbuda,Coordinating Lead Author,3,2,0,42,0.0000
Antigua and Barbuda,Coordinating Lead Author,3,3,0,20,0.0000
Antigua and Barbuda,Coordinating Lead Author,4,1,0,25,0.0000
Antigua and Barbuda,Coordinating Lead Author,4,2,0,51,0.0000
Antigua and Barbuda,Coordinating Lead Author,4,3,0,25,0.0000
Antigua and Barbuda,Coordinating Lead Author,5,1,0,29,0.0000
Antigua and Barbuda,Coordinating Lead Author,5,2,0,64,0.0000
Antigua and Barbuda,Coordinating Lead Author,5,3,0,34,0.0000
Antigua and Barbuda,Lead Author,1,1,0,214,0.0000
Antigua and Barbuda,Lead Author,1,2,0,11,0.0000
Antigua and Barbuda,Lead Author,1,3,0,43,0.0000
Antigua and Barbuda,Lead Author,2,1,0,84,0.0000
Antigua and Barbuda,Lead Author,2,2,0,287,0.0000
Antigua and Barbuda,Lead Author,2,3,0,65,0.0000
Antigua and Barbuda,Lead Author,3,1,0,137,0.0000
Antigua and Barbuda,Lead Author,3,2,1,184,0.5435
Antigua and Barbuda,Lead Author,3,3,0,139,0.0000
Antigua and Barbuda,Lead Author,4,1,0,139,0.0000
Antigua and Barbuda,Lead Author,4,2,0,197,0.0000
Antigua and Barbuda,Lead Author,4,3,0,175,0.0000
Antigua and Barbuda,Lead Author,5,1,0,195,0.0000
Antigua and Barbuda,Lead Author,5,2,0,236,0.0000
Antigua and Barbuda,Lead Author,5,3,0,243,0.0000
Antigua and Barbuda,Review Editor,3,1,0,21,0.0000
Antigua and Barbuda,Review Editor,3,2,0,34,0.0000
Antigua and Barbuda,Review Editor,3,3,0,19,0.0000
Antigua and Barbuda,Review Editor,4,1,0,26,0.0000
Antigua and Barbuda,Review Editor,4,2,0,46,0.0000
Antigua and Barbuda,Review Editor,4,3,0,26,0.0000
Antigua and Barbuda,Review Editor,5,1,0,50,0.0000
Antigua and Barbuda,Review Editor,5,2,0,66,0.0000
Antigua and Barbuda,Review Editor,5,3,0,36,0.0000
Antigua and Barbuda,Contributing Author,1,1,0,29,0.0000
Antigua and Barbuda,Contributing Author,1,2,0,147,0.0000
Antigua and Barbuda,Contributing Author,1,3,0,9,0.0000
Antigua and Barbuda,Contributing Author,2,1,0,352,0.0000
Antigua and Barbuda,Contributing Author,2,2,0,294,0.0000
Antigua and Barbuda,Contributing Author,2,3,0,28,0.0000
Antigua and Barbuda,Contributing Author,3,1,0,518,0.0000
Antigua and Barbuda,Contributing Author,3,2,0,232,0.0000
Antigua and Barbuda,Contributing Author,3,3,0,71,0.0000
Antigua and Barbuda,Contributing Author,4,1,0,496,0.0000
Antigua and Barbuda,Contributing Author,4,2,0,217,0.0000
Antigua and Barbuda,Contributing Author,4,3,0,84,0.0000
Antigua and Barbuda,Contributing Author,5,1,0,603,0.0000
Antigua and Barbuda,Contributing Author,5,2,0,386,0.0000
Argentina,Coordinating Lead Author,1,1,0,34,0.0000
Argentina,Coordinating Lead Author,1,2,0,13,0.0000
Argentina,Coordinating Lead Author,1,3,0,19,0.0000
Argentina,Coordinating Lead Author,2,1,0,15,0.0000
Argentina,Coordinating Lead Author,2,2,0,43,0.0000
Argentina,Coordinating Lead Author,2,3,0,12,0.0000
Argentina,Coordinating Lead Author,3,1,0,23,0.0000
Argentina,Coordinating Lead Author,3,2,0,42,0.0000
Argentina,Coordinating Lead Author,3,3,1,20,5.0000
Argentina,Coordinating Lead Author,4,1,0,25,0.0000
Argentina,Coordinating Lead Author,4,2,2,51,3.9216
Argentina,Coordinating Lead Author,4,3,0,25,0.0000
Argentina,Coordinating Lead Author,5,1,1,29,3.4483
Argentina,Coordinating Lead Author,5,2,1,64,1.5625
Argentina,Coordinating Lead Author,5,3,1,34,2.9412
Argentina,Lead Author,1,1,1,214,0.4673
Argentina,Lead Author,1,2,0,11,0.0000
Argentina,Lead Author,1,3,0,43,0.0000
Argentina,Lead Author,2,1,1,84,1.1905
Argentina,Lead Author,2,2,5,287,1.7422
Argentina,Lead Author,2,3,0,65,0.0000
Argentina,Lead Author,3,1,0,137,0.0000
Argentina,Lead Author,3,2,8,184,4.3478
Argentina,Lead Author,3,3,2,139,1.4388
Argentina,Lead Author,4,1,3,139,2.1583
Argentina,Lead Author,4,2,4,197,2.0305
Argentina,Lead Author,4,3,1,175,0.5714
Argentina,Lead Author,5,1,1,195,0.5128
Argentina,Lead Author,5,2,4,236,1.6949
Argentina,Lead Author,5,3,5,243,2.0576
Argentina,Review Editor,3,1,0,21,0.0000
Argentina,Review Editor,3,2,1,34,2.9412
Argentina,Review Editor,3,3,0,19,0.0000
Argentina,Review Editor,4,1,0,26,0.0000
Argentina,Review Editor,4,2,2,46,4.3478
Argentina,Review Editor,4,3,0,26,0.0000
Argentina,Review Editor,5,1,0,50,0.0000
Argentina,Review Editor,5,2,1,66,1.5152
Argentina,Review Editor,5,3,1,36,2.7778
Argentina,Contributing Author,1,1,0,29,0.0000
Argentina,Contributing Author,1,2,0,147,0.0000
Argentina,Contributing Author,1,3,0,9,0.0000
Argentina,Contributing Author,2,1,1,352,0.2841
Argentina,Contributing Author,2,2,11,294,3.7415
Argentina,Contributing Author,2,3,1,28,3.5714
Argentina,Contributing Author,3,1,1,518,0.1931
Argentina,Contributing Author,3,2,2,232,0.8621
Argentina,Contributing Author,3,3,0,71,0.0000
Argentina,Contributing Author,4,1,1,496,0.2016
Argentina,Contributing Author,4,2,2,217,0.9217
Argentina,Contributing Author,4,3,2,84,2.3810
Argentina,Contributing Author,5,1,3,603,0.4975
Argentina,Contributing Author,5,2,2,386,0.5181
Australia,Coordinating Lead Author,1,1,0,34,0.0000
Australia,Coordinating Lead Author,1,2,0,13,0.0000
Australia,Coordinating Lead Author,1,3,1,19,5.2632
Australia,Coordinating Lead Author,2,1,1,15,6.6667
Australia,Coordinating Lead Author,2,2,4,43,9.3023
Australia,Coordinating Lead Author,2,3,0,12,0.0000
Australia,Coordinating Lead Author,3,1,3,23,13.0435
Australia,Coordinating Lead Author,3,2,3,42,7.1429
Australia,Coordinating Lead Author,3,3,0,20,0.0000
Australia,Coordinating Lead Author,4,1,1,25,4.0000
Australia,Coordinating Lead Author,4,2,2,51,3.9216
Australia,Coordinating Lead Author,4,3,1,25,4.0000
Australia,Coordinating Lead Author,5,1,4,29,13.7931
Australia,Coordinating Lead Author,5,2,5,64,7.8125
Australia,Coordinating Lead Author,5,3,0,34,0.0000
Australia,Lead Author,1,1,11,214,5.1402
Australia,Lead Author,1,2,0,11,0.0000
Australia,Lead Author,1,3,3,43,6.9767
Australia,Lead Author,2,1,8,84,9.5238
Australia,Lead Author,2,2,11,287,3.8328
Australia,Lead Author,2,3,1,65,1.5385
Australia,Lead Author,3,1,5,137,3.6496
Australia,Lead Author,3,2,7,184,3.8043
Australia,Lead Author,3,3,1,139,0.7194
Australia,Lead Author,4,1,7,139,5.0360
Australia,Lead Author,4,2,13,197,6.5990
Australia,Lead Author,4,3,4,175,2.2857
Australia,Lead Author,5,1,10,195,5.1282
Australia,Lead Author,5,2,15,236,6.3559
Australia,Lead Author,5,3,7,243,2.8807
Australia,Review Editor,3,1,1,21,4.7619
Australia,Review Editor,3,2,2,34,5.8824
Australia,Review Editor,3,3,0,19,0.0000
Australia,Review Editor,4,1,2,26,7.6923
Australia,Review Editor,4,2,4,46,8.6957
Australia,Review Editor,4,3,0,26,0.0000
Australia,Review Editor,5,1,1,50,2.0000
Australia,Review Editor,5,2,3,66,4.5455
Australia,Review Editor,5,3,0,36,0.0000
Australia,Contributing Author,1,1,2,29,6.8966
Australia,Contributing Author,1,2,8,147,5.4422
Australia,Contributing Author,1,3,3,9,33.3333
Australia,Contributing Author,2,1,30,352,8.5227
Australia,Contributing Author,2,2,19,294,6.4626
Australia,Contributing Author,2,3,2,28,7.1429
Australia,Contributing Author,3,1,31,518,5.9846
Australia,Contributing Author,3,2,5,232,2.1552
Australia,Contributing Author,3,3,0,71,0.0000
Australia,Contributing Author,4,1,21,496,4.2339
Australia,Contributing Author,4,2,12,217,5.5300
Australia,Contributing Author,4,3,3,84,3.5714
Australia,Contributing Author,5,1,30,603,4.9751
Australia,Contributing Author,5,2,40,386,10.3627
Austria,Coordinating Lead Author,1,1,0,34,0.0000
Austria,Coordinating Lead Author,1,2,0,13,0.0000
Austria,Coordinating Lead Author,1,3,0,19,0.0000
Austria,Coordinating Lead Author,2,1,0,15,0.0000
Austria,Coordinating Lead Author,2,2,1,43,2.3256
Austria,Coordinating Lead Author,2,3,0,12,0.0000
Austria,Coordinating Lead Author,3,1,0,23,0.0000
Austria,Coordinating Lead Author,3,2,0,42,0.0000
Austria,Coordinating Lead Author,3,3,0,20,0.0000
Austria,Coordinating Lead Author,4,1,0,25,0.0000
Austria,Coordinating Lead Author,4,2,0,51,0.0000
Austria,Coordinating Lead Author,4,3,2,25,8.0000
Austria,Coordinating Lead Author,5,1,0,29,0.0000
Austria,Coordinating Lead Author,5,2,0,64,0.0000
Austria,Coordinating Lead Author,5,3,0,34,0.0000
Austria,Lead Author,1,1,0,214,0.0000
Austria,Lead Author,1,2,0,11,0.0000
Austria,Lead Author,1,3,0,43,0.0000
Austria,Lead Author,2,1,0,84,0.0000
Austria,Lead Author,2,2,4,287,1.3937
Austria,Lead Author,2,3,1,65,1.5385
Austria,Lead Author,3,1,1,137,0.7299
Austria,Lead Author,3,2,1,184,0.5435
Austria,Lead Author,3,3,3,139,2.1583
Austria,Lead Author,4,1,1,139,0.7194
Austria,Lead Author,4,2,1,197,0.5076
Austria,Lead Author,4,3,7,175,4.0000
Austria,Lead Author,5,1,1,195,0.5128
Austria,Lead Author,5,2,1,236,0.4237
Austria,Lead Author,5,3,9,243,3.7037
Austria,Review Editor,3,1,0,21,0.0000
